time,z,ax,ay,az
0.0,475.5751953125,0.0,0.0,0.0
0.001750266469535476,475.5751953125,-7.703719777548943e-34,0.0,-6.938893903907228e-18
0.003500532939070952,475.5751953125,3.0814879110195774e-33,0.0,0.0
0.004200639526885142,475.5751954072885,6.735090712253226e-19,0.01691917592712431,0.19338706576665157
0.004900746114699333,475.57519640608484,6.4233249738277465e-18,0.16135991319547455,1.8443522473933038
0.006037928807717963,475.5752000879681,1.5763007520866884e-17,0.39598144817994074,4.526088663619901
0.007175111500736594,475.57520962295433,2.5103072822405275e-17,0.6306125983143498,7.207934981513246
0.008312294193755225,475.5752284791734,3.4443602975808127e-17,0.8652554259610957,9.889914773983364
0.019684121123941536,475.5766756283806,1.2788995187391522e-16,3.2127148504960523,36.72149877502797
0.021958486509978798,475.57742904757265,1.4659176300817232e-16,3.682521785918588,42.091416619107555
0.02423285189601606,475.5784001965797,1.652988222100206e-16,4.1524605576962275,47.46284135962141
0.02650721728205332,475.5796168609147,1.840125851826386e-16,4.622567734441133,52.83619097771915
0.031055948054127848,475.5828799128678,2.1297729049316296e-16,5.350188142045619,61.15293029319494
0.034787035028425686,475.5864854494657,2.137338177580381e-16,5.36919281108825,61.370154654348894
0.038518122002723525,475.5909534590312,2.144906391631692e-16,5.388204874789371,61.58746353683612
0.04224920897702136,475.5962782074074,2.1524798774084443e-16,5.407230184855061,61.804923825963215
0.0459802959513192,475.60246334261285,2.1600552801762661e-16,5.426260291390167,62.0224389389866
0.053442469899914885,475.6174289078747,2.1752142251691374e-16,5.464340919087199,62.45770250528567
0.06090464384851057,475.6358723679009,2.1903668505021288e-16,5.502406195135881,62.89279060144115
0.06836681779710625,475.6578179039985,2.2054027441070767e-16,5.540166050082534,63.324387718426074
0.11643541289199552,475.88526229736317,2.301761212186726e-16,5.782879897276702,66.09861968645984
0.1645040079868848,476.26541674800336,2.3971710033654503e-16,6.023058638690531,68.8438752628313
0.2125726030817741,476.80462798685954,2.49366499671666e-16,6.261243153861382,71.56633672894196
0.29006400719082337,478.02328069535923,2.636779683484747e-16,6.6492915138356565,76.00174977944869
0.29993971507182177,478.2109108001116,2.654126918244515e-16,6.701788033085694,76.60178774018952
0.30981542295282016,478.4060141513324,2.671474153004283e-16,6.762575351532745,77.29658996938393
0.31439426199839343,478.49902690306214,2.7755575615628914e-16,6.790801821604114,77.619219998622
0.3176834621534103,478.56726548143763,-0.04282503781023468,7.590569400173818,77.7502805092159
0.3209726623084272,478.6363477382627,-0.043088573981757236,7.610091578766995,77.98235514838598
0.327551062618461,478.7762046310631,-0.043345178403320465,7.6495727239867755,78.44660231362028
0.3341294629284948,478.9194563294341,-0.043051364334811784,7.689964890334876,78.91100556185143
0.34070786323852864,479.0661229318123,-0.04218853049350842,7.731317159735229,79.37564594726398
